Equipment,Timestamp,Temperature,Vibration,Usage_Hours,Lubrication_Status,Motor_Current,Pressure,Humidity,Conveyor_Speed,Maintenance_Required
CNC Machine,2023-09-15 23:39:07,37.5,0.26,1262,Empty,20.0,100,56,1.95,Yes
Conveyor Belt,2020-11-06 00:46:27,47.7,0.05,509,Good,8.6,100,30,1.97,No
Stamping Machine,2020-10-18 06:17:22,79.7,0.28,791,Low,5.3,80,35,,Yes
CNC Machine,2022-09-03 23:14:49,49.5,0.32,1993,Good,20.0,91,50,,No
CNC Machine,2020-01-30 04:40:07,76.6,0.39,866,Good,5.3,87,70,,Yes
Stamping Machine,2022-04-19 06:16:38,53.6,0.5,733,Good,5.3,83,70,,Yes
Stamping Machine,2023-02-16 01:59:28,20.2,0.37,509,Empty,20.0,100,34,,Yes
Stamping Machine,2023-09-16 23:58:34,27.1,0.46,949,Low,11.9,100,35,1.89,No
Conveyor Belt,2022-09-03 23:14:49,20.2,0.05,509,Good,20.0,83,63,,Yes
Stamping Machine,2020-01-06 23:09:12,73.0,0.5,760,Empty,19.3,92,43,,No
Conveyor Belt,2023-09-15 23:39:07,20.2,0.5,1178,Good,5.3,95,41,,No
CNC Machine,2022-09-03 23:14:49,52.1,0.5,509,Empty,5.3,100,37,,Yes
Stamping Machine,2022-07-04 01:26:47,20.2,0.05,1081,Low,15.7,100,30,,Yes
Stamping Machine,2020-11-08 17:42:06,36.4,0.5,749,Low,5.3,92,47,,Yes
Stamping Machine,2022-09-03 23:14:49,79.7,0.5,1993,Good,20.0,80,53,,Yes
Stamping Machine,2022-09-03 23:14:49,48.3,0.35,731,Good,5.3,80,41,,No
Conveyor Belt,2022-08-18 00:56:51,58.4,0.05,762,Low,5.3,86,37,,Yes
CNC Machine,2020-06-13 11:12:12,73.2,0.5,1026,Empty,5.3,100,49,,No
CNC Machine,2022-12-24 04:03:28,64.8,0.3,509,Good,19.1,92,45,,Yes
CNC Machine,2022-07-12 22:45:22,24.3,0.06,744,Empty,14.2,83,44,,No
Conveyor Belt,2023-09-15 23:39:07,20.2,0.05,1536,Good,20.0,86,56,,No
Stamping Machine,2023-09-15 23:39:07,77.7,0.11,509,Good,5.3,100,30,,Yes
Conveyor Belt,2022-01-13 11:52:31,79.7,0.5,558,Empty,20.0,80,30,,No
Stamping Machine,2020-10-18 06:17:22,33.4,0.08,1098,Low,17.7,100,54,,Yes
Robot,2022-09-29 17:02:08,20.2,0.35,1993,Good,14.4,95,70,,Yes
Conveyor Belt,2023-09-15 23:39:07,29.0,0.46,1081,Empty,9.3,94,35,,Yes
Conveyor Belt,2020-10-18 06:17:22,20.2,0.05,1595,Low,6.4,88,49,,Yes
Robot,2020-08-10 03:31:41,79.7,0.5,509,Good,20.0,100,35,,Yes
Stamping Machine,2020-07-05 07:56:20,33.8,0.5,1886,Good,5.5,80,70,,Yes
Stamping Machine,2020-06-13 11:12:12,29.0,0.5,509,Low,10.3,81,36,1.34,Yes
Robot,2023-07-24 16:21:48,73.5,0.35,907,Low,18.1,80,70,,Yes
CNC Machine,2022-12-24 04:03:28,79.7,0.21,733,Low,19.6,93,31,,No
Stamping Machine,2022-09-03 23:14:49,20.2,0.19,509,Empty,20.0,90,30,,Yes
Robot,2023-09-16 23:58:34,32.4,0.14,683,Good,9.7,100,30,,Yes
Robot,2022-10-18 19:14:16,76.0,0.39,1662,Empty,19.1,98,35,2.01,No
Stamping Machine,2022-07-12 22:45:22,62.3,0.26,842,Low,20.0,80,39,,Yes
Robot,2022-09-03 23:14:49,20.2,0.05,561,Low,12.4,100,30,,No
CNC Machine,2023-09-16 23:58:34,77.0,0.05,509,Low,7.5,80,70,,No
Stamping Machine,2023-09-16 23:58:34,20.2,0.2,1804,Low,20.0,100,34,,Yes
Robot,2023-08-26 08:00:02,79.7,0.17,509,Good,11.2,100,41,,No
CNC Machine,2022-01-08 16:52:54,71.2,0.05,509,Good,12.4,100,34,,No
Stamping Machine,2020-07-05 07:56:20,20.2,0.49,884,Good,17.8,92,34,,Yes
Stamping Machine,2020-01-06 23:09:12,49.7,0.36,1823,Good,5.3,98,66,,Yes
Robot,2023-01-21 15:34:41,56.0,0.34,509,Good,7.4,94,62,,Yes
Stamping Machine,2020-08-10 03:31:41,32.9,0.32,841,Empty,10.0,84,70,1.62,Yes
CNC Machine,2022-04-21 13:10:24,69.2,0.15,1109,Empty,5.3,100,62,,Yes
Stamping Machine,2022-09-03 23:14:49,30.7,0.05,509,Low,7.0,96,44,,No
CNC Machine,2023-07-19 01:32:33,43.1,0.05,1766,Empty,6.8,100,70,,No
Stamping Machine,2020-08-10 03:31:41,68.7,0.05,781,Good,5.3,91,40,,Yes
Robot,2022-01-02 10:17:30,41.1,0.19,1833,Empty,15.4,95,66,,Yes
Stamping Machine,2022-09-03 23:14:49,79.7,0.42,509,Empty,10.8,98,37,,No
Stamping Machine,2020-07-05 07:56:20,57.3,0.05,752,Low,16.2,89,30,,No
Stamping Machine,2022-01-13 11:52:31,58.2,0.25,742,Low,20.0,83,34,,No
Conveyor Belt,2022-09-03 23:14:49,20.2,0.21,1973,Good,19.4,97,39,,Yes
Stamping Machine,2021-02-11 00:06:13,57.1,0.5,732,Empty,17.2,85,30,,No
Stamping Machine,2023-09-15 23:39:07,20.2,0.05,818,Low,15.1,92,60,,No
Stamping Machine,2023-09-15 23:39:07,79.7,0.29,1993,Empty,15.0,82,46,1.89,No
CNC Machine,2022-09-03 23:14:49,20.2,0.23,509,Low,5.3,98,32,,No
Stamping Machine,2020-11-06 00:46:27,79.7,0.5,747,Empty,10.1,100,38,,Yes
Conveyor Belt,2022-09-03 23:14:49,41.0,0.5,1763,Low,18.3,80,30,2.18,Yes
Robot,2020-10-04 20:09:29,53.7,0.38,509,Low,11.6,85,70,,No
Stamping Machine,2022-09-03 23:14:49,20.2,0.46,1638,Empty,17.2,80,30,,No
Robot,2022-09-03 23:14:49,75.3,0.5,737,Good,10.6,100,34,,No
Stamping Machine,2022-01-29 19:57:36,20.2,0.16,870,Empty,20.0,80,30,,No
Conveyor Belt,2021-10-14 00:34:41,40.1,0.05,509,Empty,17.3,80,30,,Yes
Robot,2023-09-16 23:58:34,73.4,0.37,816,Good,19.5,84,37,,No
Stamping Machine,2020-10-04 20:09:29,45.4,0.15,509,Good,20.0,100,30,,No
Stamping Machine,2022-07-04 01:26:47,33.9,0.33,830,Empty,13.7,80,35,,No
Robot,2022-09-03 23:14:49,64.0,0.35,1537,Good,6.5,100,70,,No
Stamping Machine,2022-09-03 23:14:49,54.9,0.05,796,Empty,5.3,83,70,,Yes
Stamping Machine,2022-09-03 23:14:49,39.3,0.49,509,Good,20.0,95,30,,No
Conveyor Belt,2022-09-03 23:14:49,20.2,0.37,1218,Empty,11.9,99,50,,Yes
CNC Machine,2020-04-04 06:24:32,35.5,0.33,1683,Good,5.3,100,50,,No
Stamping Machine,2023-09-16 23:58:34,49.7,0.1,509,Empty,14.9,100,42,,Yes
Stamping Machine,2023-09-15 23:39:07,56.2,0.31,509,Good,13.2,89,34,,No
Conveyor Belt,2020-03-14 05:08:45,20.2,0.5,509,Good,6.5,90,54,,No
Robot,2022-09-03 23:14:49,24.8,0.28,594,Good,16.1,100,40,,Yes
Stamping Machine,2022-01-08 16:52:54,79.7,0.22,1255,Good,20.0,80,30,,Yes
Stamping Machine,2020-10-18 06:17:22,20.2,0.12,509,Low,10.8,99,50,,No
Stamping Machine,2022-09-03 23:14:49,79.7,0.14,986,Good,7.2,85,62,,Yes
CNC Machine,2021-02-11 00:06:13,20.2,0.14,1496,Good,7.4,100,51,1.87,No
Robot,2023-09-16 23:58:34,42.4,0.18,1289,Good,19.3,91,52,,Yes
Stamping Machine,2023-07-02 01:54:59,58.4,0.5,1667,Good,16.9,84,30,1.87,Yes
Robot,2022-12-24 04:03:28,20.2,0.19,971,Low,20.0,83,30,,Yes
Conveyor Belt,2022-09-03 23:14:49,79.1,0.5,1740,Low,19.0,80,70,,No
CNC Machine,2022-09-03 23:14:49,20.2,0.5,509,Empty,18.3,100,35,,No
CNC Machine,2020-01-06 23:09:12,32.5,0.5,737,Good,11.4,84,30,,No
Stamping Machine,2020-11-06 00:46:27,20.2,0.22,509,Low,9.3,84,30,2.02,No
Conveyor Belt,2023-09-16 23:58:34,20.2,0.06,922,Empty,14.4,80,65,,Yes
Robot,2022-09-03 23:14:49,25.6,0.5,1993,Low,13.2,83,70,1.14,Yes
Conveyor Belt,2022-09-03 23:14:49,68.2,0.37,509,Empty,7.8,80,32,,Yes
Conveyor Belt,2022-09-03 23:14:49,44.0,0.05,919,Good,14.7,82,68,,Yes
CNC Machine,2022-02-04 09:20:03,45.4,0.5,1214,Good,16.8,96,37,,No
Stamping Machine,2023-05-28 15:19:27,68.5,0.15,509,Good,13.0,100,61,1.88,Yes
Stamping Machine,2022-12-24 04:03:28,20.2,0.07,509,Empty,8.5,100,49,1.92,Yes
CNC Machine,2022-04-17 07:46:25,30.7,0.2,1341,Empty,20.0,80,35,,Yes
CNC Machine,2020-10-18 06:17:22,20.2,0.36,1428,Good,16.5,100,37,,No
CNC Machine,2022-07-12 22:45:22,32.7,0.5,509,Empty,8.7,100,30,,No
Robot,2020-02-13 20:25:16,30.6,0.12,870,Good,13.4,100,40,,No
Conveyor Belt,2020-07-15 10:05:32,50.1,0.5,509,Good,15.2,83,44,,No
Stamping Machine,2021-12-11 20:55:24,54.5,0.35,509,Low,20.0,84,35,,Yes
Stamping Machine,2022-09-03 23:14:49,52.9,0.12,509,Good,5.3,80,66,1.97,Yes
Stamping Machine,2020-03-14 05:08:45,74.3,0.32,1149,Low,20.0,100,30,,No
Robot,2023-09-16 23:58:34,55.2,0.05,509,Low,20.0,100,36,,Yes
CNC Machine,2023-09-15 23:39:07,20.2,0.29,791,Empty,8.8,83,60,,No
CNC Machine,2022-09-03 23:14:49,58.9,0.05,1993,Empty,8.1,87,70,2.02,No
Robot,2021-10-24 16:48:04,20.2,0.11,894,Good,5.3,100,30,,Yes
Stamping Machine,2020-10-18 06:17:22,20.2,0.5,1496,Empty,19.6,86,30,1.25,No
Stamping Machine,2021-10-24 16:48:04,37.9,0.05,509,Good,18.0,80,69,,Yes
Conveyor Belt,2022-09-03 23:14:49,46.1,0.43,1954,Empty,20.0,85,50,,Yes
CNC Machine,2023-09-15 23:39:07,44.6,0.16,678,Empty,7.7,100,70,,Yes
Conveyor Belt,2020-10-18 06:17:22,51.7,0.25,830,Low,5.3,100,70,,Yes
Robot,2020-10-18 06:17:22,20.2,0.05,620,Good,19.5,83,34,2.02,No
Conveyor Belt,2022-09-03 23:14:49,79.7,0.5,509,Low,16.4,97,55,,Yes
Conveyor Belt,2020-11-21 03:36:35,56.8,0.29,509,Empty,19.8,84,70,1.94,No
Conveyor Belt,2022-09-03 23:14:49,20.2,0.05,1937,Good,19.3,85,42,,Yes
Robot,2022-09-03 23:14:49,44.0,0.28,509,Low,20.0,85,48,,No
CNC Machine,2022-09-03 23:14:49,20.2,0.3,1538,Low,19.0,81,49,,Yes
Robot,2023-09-16 23:58:34,20.2,0.05,509,Low,19.9,94,38,,Yes
Stamping Machine,2023-09-16 23:58:34,47.9,0.05,509,Empty,5.3,100,30,,Yes
Conveyor Belt,2022-09-03 23:14:49,26.4,0.05,525,Low,12.8,100,70,,No
Conveyor Belt,2020-04-03 03:08:29,62.5,0.05,1195,Low,13.2,100,30,,No
CNC Machine,2022-09-03 23:14:49,20.2,0.05,509,Low,20.0,83,32,,No
Conveyor Belt,2023-09-16 23:58:34,20.2,0.06,509,Low,20.0,83,34,,Yes
CNC Machine,2022-09-03 23:14:49,46.5,0.05,1056,Empty,14.0,100,34,,No
Stamping Machine,2022-07-12 22:45:22,60.5,0.5,1382,Low,5.3,100,37,,Yes
Robot,2020-03-14 05:08:45,41.2,0.08,590,Low,20.0,84,61,,No
Stamping Machine,2020-01-20 08:19:37,20.2,0.17,509,Good,20.0,82,30,,Yes
